STATE,DATE_ENACTED,NCSL_TITLE,NCSL_TOPICS,NCSL_SUMMARY,BILL_NUMBER,NOTES,UNIQUE_ID,TRAINING,CHOKEHOLD,BODY_CAMERA,IMMUNITITY,WARRANTS,USE_OF_FORCE,TRANSPARENCY,OVERSIGHT,ACCOUNTABILITY,MENTAL_HEALTH,LEFT_RIGHT_REFORM,PARTY_SPONSOR,BILL_TEXT_LINK
Arizona,07/06/2022,Arizona Peace Officer Standards and Training Board,Certification,"Provides that any findings or recommendations from any government committee, board, agency, department, office or entity shall require a majority vote to investigate law enforcement officer misconduct, influence the conduct of or certify law enforcement officer misconduct investigations, recommend disciplinary actions for law enforcement officer misconduct, and/or impose discipline for law enforcement officer misconduct.",AZ H 2721,"transparency, use of force, oversight, accountability",11,0,0,0,0,0,1,1,1,1,0,left,Republican,https://custom.statenet.com/public/resources.cgi?id=ID:bill:AZ2022000H2721&ciq=ncsl&client_md=aa02044d86d1bb74c510b9ab9eee0063&mode=current_text
Arizona,04/28/2021,Use-of-Force,"Use of Force, Data and Transparency, Standards","Relates to use of force, reports, analysis.",AZ H 2168,"use of force, transparency, oversight, accountability",12,0,0,0,0,0,1,1,1,1,0,left,Republican,https://custom.statenet.com/public/resources.cgi?id=ID:bill:AZ2021000H2168&ciq=ncsl&client_md=3edbefe5544de51a52634e085524d6ba&mode=current_text
Arizona,05/07/2021,Law Enforcement Officers,"Investigations and Discipline, Other Issues, Data and Transparency","Relates to law enforcement officers, relates to database, relates to rules.",AZ H 2295,"transparency, oversight",13,0,0,0,0,0,0,1,1,0,0,right,Republican,https://custom.statenet.com/public/resources.cgi?id=ID:bill:AZ2021000H2295&ciq=ncsl&client_md=de4dc1aebf7ba7007045ab1ae4b79266&mode=current_text
Arizona,05/07/2021,Civilian Review Board Members,"Training, Oversight","Relates to civilian review board members, relates to training.",AZ H 2462,"transparency, oversight",14,0,0,0,0,0,0,1,1,0,0,right,Republican,https://custom.statenet.com/public/resources.cgi?id=ID:bill:AZ2021000H2462&ciq=ncsl&client_md=e469ddcd2254b23cad23490b0baacf39&mode=current_text
Arizona,07/09/2021,Complaints Against Peace Officers,Investigations and Discipline,"Relates to complaints against peace officers, relates to notification.",AZ H 2550,tactics,15,0,0,0,0,0,0,0,0,0,0,right ,Republican,https://custom.statenet.com/public/resources.cgi?id=ID:bill:AZ2021000H2550&ciq=ncsl&client_md=6d243e7d8ecaf8ccdb3c53eeec9da892&mode=current_text
Arizona,05/05/2021,Investigator Membership Requirements,Investigations and Discipline,"Relates to peace officers, relates to investigator membership requirements.",AZ H 2567,"transparency, oversight",16,0,0,0,0,0,0,1,1,0,0,right,Republican,https://custom.statenet.com/public/resources.cgi?id=ID:bill:AZ2021000H2567&ciq=ncsl&client_md=9dd6494455b8995cf06e9f7182c42af8&mode=current_text
Arizona,06/30/2021,Criminal Justice and Budget Reconciliation,Technology,"Appropriates monies, relates to criminal justice budget reconciliation, coordinates reentry planning services programs, provides for cross-system recidivism tracking database, establishes a planning committee.",AZ H 2893,"mental health diversion, ",17,0,0,0,0,0,0,0,0,0,1,both,Republican,https://custom.statenet.com/public/resources.cgi?id=ID:bill:AZ2021000H2893&ciq=ncsl&client_md=39b611bf958417103aa500331ec6908d&mode=current_text
Arkansas,04/20/2021,Law Enforcement Audiovisual Media Use,Standards,"Amends the law concerning the use of audio media, visual media, and audiovisual media by law enforcement agencies, dispatch centers, public safety answering points, jails, and detention centers.",AR S 346,"transparency, oversight",18,0,0,0,0,0,0,1,1,0,0,left,Republican,https://custom.statenet.com/public/resources.cgi?id=ID:bill:AR2021000S346&ciq=ncsl&client_md=f59b67ade945fd3bc58d647ec01ce351&mode=current_text
Arkansas,04/12/2021,Qualified Immunity,Use of Force,"Concerns qualified immunity, includes that law enforcement agencies for and certified law enforcement officers employed by a public or private institution of higher education shall be immune from liability and from suit for damages except to the extent that they may be covered by liability insurance.",AR S 494,qualified immunity,19,0,0,0,1,0,0,0,0,0,0,right,Republican,https://custom.statenet.com/public/resources.cgi?id=ID:bill:AR2021000S494&ciq=ncsl&client_md=2291f7ab9f5eb231c85143d62770b1cc&mode=current_text
Arkansas,03/01/2021,Law Enforcement Agency Organization and Staffing,"Employment and Labor, Use of Force, Data and Transparency","Concerns law enforcement agency organization, staffing, and personnel matters.",AR H 1197,"transparency, oversight, use of force",20,0,0,0,0,0,1,1,1,0,0,left,Republican,https://custom.statenet.com/public/resources.cgi?id=ID:bill:AR2021000H1197&ciq=ncsl&client_md=f8c9601e99464f5bed69c652dcb0a822&mode=current_text
Arkansas,04/06/2021,Law Enforcement Sobering Centers Transport,Policing Alternatives and Collaboration,Permits a law enforcement officer to transport a person in crisis to a sobering center.,AR H 1516,"mental health diversion, ",21,0,0,0,0,0,0,0,0,0,1,right,Republican,https://custom.statenet.com/public/resources.cgi?id=ID:bill:AR2021000H1516&ciq=ncsl&client_md=54112a6f721283b77f018632db4cc682&mode=current_text
Arkansas,04/19/2021,Law Enforcement Critical Incident Debriefings,"Officer Safety and Wellbeing, Standards",Concerns critical incident debriefing for law enforcement officers.,AR H 1680,"transparency, oversight, use of force",22,0,0,0,0,0,1,1,1,0,0,left,Democrat,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AR2021000H1680&ciq=ncsl&client_md=4280b350c5d32f328487004537c22547&mode=current_text
Arkansas,04/20/2021,Domestic Violence,Training,"Relates to Arkansas Phoenix Act of 2021, concerns the statute of limitations for certain offenses, concerns the training given to law enforcement officers for situations in which domestic violence is suspected.",AR H 1721,transparency,23,0,0,0,0,0,0,1,0,0,0,left,Republican,https://custom.statenet.com/public/resources.cgi?id=ID:bill:AR2021000H1721&ciq=ncsl&client_md=665e5eca55dfd5115a1b4b3a11c66b3a&mode=current_text
Arkansas,04/06/2021,Aggravated Assault Upon Law Enforcement,Officer Safety and Wellbeing,"Concerns the offense of aggravated assault upon a law enforcement officer or an employee of a correctional facility, declares an emergency.",AR H 1727,tactics,24,0,0,0,0,0,0,0,0,0,0,right,Republican,https://custom.statenet.com/public/resources.cgi?id=ID:bill:AR2021000H1727&ciq=ncsl&client_md=5b2f948c5145fbf8f536843fb00a2a25&mode=current_text
Arkansas,04/20/2021,Law Enforcement Duty to Intervene Training,"Training, Use of Force",Requires training concerning a law enforcement officer's duty to intervene when the law enforcement officer observes the use of excessive force by another law enforcement office.,AR H 1865,"use of force, tactics, accountability",25,0,0,0,0,0,1,0,0,1,0,left,Republican,https://custom.statenet.com/public/resources.cgi?id=ID:bill:AR2021000H1865&ciq=ncsl&client_md=22ca6d0d78d042e8d8b87fcf9e8b2224&mode=current_text
Arkansas,04/28/2021,Behavioral Health Crisis Intervention Protocol Act,"Officer Safety and Wellbeing, Standards",Amends the Behavioral Health Crisis Intervention Protocol Act of 2017.,AR H 1880,"mental health diversion, ",26,0,0,0,0,0,0,0,0,0,1,left ,Republican,https://custom.statenet.com/public/resources.cgi?id=ID:bill:AR2021000H1880&ciq=ncsl&client_md=a33f98af53d89aedafd8cd5df48fd147&mode=current_text
California,06/30/2022,Public Safety Omnibus,Standards,"Establishes the Flexible Assistance for Survivors (FAS) pilot grant program, to be administered by the Office of Emergency Services. Requires the office to establish a grant selection advisory committee to provide grants to qualifying community-based organizations to establish assistance funds to distribute in direct cash assistance to survivors, as defined. Requires the committee when considering grant applications to give preferences to certain organizations. ",CA A 200,"use of force, transparency, oversight, accountability",27,0,0,0,0,0,1,1,1,1,0,left,Not listed,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2021000A200&ciq=ncsl&client_md=9a8013603a00f365d10f0a697482f85d&mode=current_text
California,09/30/2022,Law Enforcement Accountability Reform Act,Employment and Labor,"Relates to law that requires that a candidate for a peace officer position be of good moral character, as determined by a thorough background investigation. Requires that background investigation to include an inquiry into whether a candidate for specified peace officer positions has engaged in membership in a hate group, participation in any hate group activity, or advocacy of public expressions of hate, as specified, and as those terms are defined.",CA A 655,"oversight, tactics, accountability",28,0,0,0,0,0,0,1,1,1,0,left,Democrat,https://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2021000A655&ciq=ncsl&client_md=bb247b72a987a497c2c2213dbf04e1f5&mode=current_text
California,09/30/2022,Advisory Council on Improving Interactions,"Oversight, Data and Transparency","Provides that this bill would, upon appropriation by the Legislature, create the Advisory Council on Improving Interactions between People with Intellectual and Development Disabilities and Law Enforcement, under the Department of Justice, to, among other things, evaluate existing training for peace officers specific to interactions between law enforcement and individuals with intellectual and developmental disabilities.",CA S 882,"training, oversight",29,1,0,0,0,0,0,1,1,0,0,left,Democrat,https://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2021000S882&ciq=ncsl&client_md=0a109688b8affad6f32c44c1084d25ca&mode=current_text
California,09/29/2022,Public Employment: Peace Officers: Citizenship,Employment and Labor,"Relates to the Commission on Peace Officer Standards, which requires peace officers in this state to meet specified minimum standards. Provides that those standards shall be interpreted and applied consistent with federal law and regulations, as specified.",CA S 960,"training, oversight",30,1,0,0,0,0,0,1,1,0,0,left,Democrat,https://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2021000S882&ciq=ncsl&client_md=0a109688b8affad6f32c44c1084d25ca&mode=current_text
California,09/30/2022,Law Enforcement Agency Policies: Carrying of Equipment,"Technology, Standards","Requires a law enforcement agency that authorizes peace officers to carry an electroshock device, such as a taser or stun gun that is held and operated in a manner similar to a pistol, to require that device to be holstered or otherwise carried on the lateral side of the body opposite to the side that that officer's primary firearm is holstered.",CA A 1406,tactics,31,0,0,0,0,0,0,0,0,0,0,right,Republican,https://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2021000A1406&ciq=ncsl&client_md=a0e2d3e8e769785256da912f126fbb2d&mode=current_text
California,09/30/2022,Peace Officers: Minimum Standards: Bias Evaluation,Standards,"Requires certain evaluation of peace officers to include bias against race or ethnicity, gender, nationality, religion, disability, or sexual orientation. Revises the accreditation standards for certain institutions relating to minimum education requirements for peace officers, to include an organization holding full membership in Cognia.",CA A 2229,"training, oversight",32,1,0,0,0,0,0,1,1,0,0,left,Democrat,https://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2021000A2229&ciq=ncsl&client_md=bbd459189d5b0d716fb16bf70a7e7781&mode=current_text
California,09/29/2022,Deaths While In Law Enforcement Custody: Reporting,Data and Transparency,"Provides that if a death occurs while a person is in custody, this bill would require the agency with jurisdiction over the state or local correctional facility with custodial responsibility for the person to post specified information. Grants an agency an additional 10 days to make good faith efforts to notify next of kin if the agency seeks to notify the next of kin and is unable to do so within 10 days of the death.",CA A 2761,"transparency, oversight",33,0,0,0,0,0,0,1,1,0,0,left,Democrat,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2021000A2761&ciq=ncsl&client_md=e5fa9d6e0327d2b9e361dbc216ef073f&mode=current_text
California,09/29/2022,Stops: Notification by Peace Officers,Standards,Requires each state and local agency to include in its annual report with data on all stops conducted by the agency's peace officers the reason given to the person stopped at the time of the stop.,CA A 2773,"transparency, oversight",34,0,0,0,0,0,0,1,1,0,0,left,Democrat,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2021000A2773&ciq=ncsl&client_md=c368376dbd0939ecdf3c1951876cffd8&mode=current_text
California,09/30/2021,Peace Officers: Certification: Civil Rights,"Use of Force, Decertification","Eliminates certain immunity provisions for peace officers and custodial officers, or public entities employing peace officers or custodial officers sued under the Tom Bane Civil Rights Act. Prohibits a person who has been convicted of a felony, as specified, from regaining eligibility for peace officer employment based upon any later order of the court setting aside, vacating, withdrawing, expunging or otherwise dismissing or reversing the conviction, unless the court finds the person to be innocent.",CA S 2,"transparency, oversight, accountability",35,0,0,0,0,0,0,1,1,1,0,left,Democrat,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2021000S2&ciq=ncsl&client_md=459a4e971d625a775a82e8f945559292&mode=current_text
California,09/30/2021,Peace Officers: Release of Records,"Employment and Labor, Oversight, Use of Force, Data and Transparency, Standards","Makes a sustained finding involving force that is unreasonable or excessive, and any sustained finding that an officer failed to intervene against another officer using unreasonable or excessive force, subject to disclosure. Requires records relating to sustained findings of unlawful arrests and unlawful searches to be subject to disclosure.",CA S 16,"transparency, oversight, accountability, use of force",36,0,0,0,0,0,1,1,1,1,0,left,Democrat,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2021000S16&ciq=ncsl&client_md=e9089961fbe116824761c880903de163&mode=current_text
California,09/30/2021,Peace Officers: Use of Force,"Use of Force, Standards","Requires law enforcement use-of-force policies to require peace officers to immediately report potential excessive force. Requires those policies to, among other things, prohibit retaliation against officers that report violations of law or regulation of another officer to a supervisor, and requires that an officer who fails to intercede be disciplined up to and including in the same manner as the officer who used excessive force.",CA A 26,"transparency, oversight, accountability, use of force",37,0,0,0,0,0,1,1,1,1,0,left,Democrat,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2021000A26&ciq=ncsl&client_md=a7606a406c08660107f8dbf1fe84c45e&mode=current_text
California,09/30/2021,Law Enforcement Use of Force,"Use of Force, Standards","Prohibits the use of kinetic energy projectiles or chemical agents by any law enforcement agency to disperse any assembly, protest, or demonstration, except in compliance with specified standards. Prohibits their use solely due to a violation of an imposed curfew, verbal threat, or noncompliance with a law enforcement directive. Provides that use of such weapons can only be used to defend against a threat to life or serious bodily injury or to bring control to an objectively dangerous situations.",CA A 48,"training, use of force",38,1,0,0,0,0,1,0,0,0,0,left,Democrat,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2021000A48&ciq=ncsl&client_md=3d696e87c7afd2ecb871c401817df183&mode=current_text
California,09/30/2021,Peace Officers: Minimum Qualifications,Employment and Labor,"Requires the office of the Chancellor of the California Community Colleges to develop a modern policing degree program, with the commission and other stakeholders to serve as advisors, as specified, and to submit a report on recommendations to the Legislature outlining a plan to implement the program on or before specified date.",CA A 89,"training, oversight",39,1,0,0,0,0,0,1,1,0,0,left,Democrat,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2021000A89&ciq=ncsl&client_md=0c9ef7e25ae55df0d3eb16f9d3ca99a1&mode=current_text
California,06/28/2021,Arrest Warrants: Declaration of Probable Cause,"Investigations and Discipline, Other Issues","Requires a magistrate, before issuing an arrest warrant, to examine the declaration of probable cause made by a peace officer, or an employee of a public prosecutor's office when the subject of the arrest warrant is a peace officer.",CA A 127,"warrants, oversight",40,0,0,0,0,1,0,1,1,0,0,right,Democrat,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2021000A127&ciq=ncsl&client_md=59f55b283af2a55fb65af5c946d033c9&mode=current_text
California,09/30/2021,Peace Officers: California Science Center,Training,"Grants peace officer status to security officers appointed by the Exposition Park Manager, as specified, and clarifies the training requirements for those peace officers.",CA A 483,"training, use of force",41,1,0,0,0,0,1,0,0,0,0,right,Democrat,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2021000A483&ciq=ncsl&client_md=1e75dd7566648fed337776d68301e578&mode=current_text
California,09/30/2021,Law Enforcement Policies: Arrests: Positional Asphyxia,"Use of Force, Standards","Prohibits a law enforcement agency from authorizing techniques or transport methods that involve a substantial risk of positional asphyxia, as defined.",CA A 490,"training, use of force, chokehold",42,1,1,0,0,0,1,0,0,0,0,left,Democrat,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2021000A490&ciq=ncsl&client_md=7ea66f868b682900d835f74c52558ae6&mode=current_text
California,09/30/2021,Peace Officers: Certification,Certification,States that whether a particular factual or legal determination in a prior appeal proceeding has preclusive effect in proceedings of the commission would be governed by the existing law of collateral estoppel.,CA S 586,"training, oversight",43,1,0,0,0,0,0,1,1,0,0,left,Democrat,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2021000S586&ciq=ncsl&client_md=b0bcdea0601c1944ed5f14e7b8b2125f&mode=current_text
California,09/23/2021,Criminal Law,Investigations and Discipline,Authorizes the state prosecutor to investigate and gather facts in an incident involving a shooting by a peace officer that results in the death of an unarmed civilian. Authorizes the state prosecutor to investigate and gather facts in an incident involving a shooting by a peace officer that results in the death of a civilian if there is a reasonable dispute as to whether the civilian was armed.,CA S 715,"oversight, accountability",44,0,0,0,0,0,0,1,1,1,0,left,Democrat,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2021000S715&ciq=ncsl&client_md=a888b1ea93da45d2a233048ad3a2694b&mode=current_text
California,09/23/2021,Crimes: Perjury,Other Issues,"Makes it a crime for a peace officer to make a false statement to another peace officer if that statement is included in a peace officer report. Clarifies that the exemption for third party statements does not apply to the peace officer writing or making the report, with regard to a false statement that the peace officer included in the report that is attributed to any other person, if the peace officer knows the statement is false and is including the statement to present the statement as being true.",CA A 750,"accountability, tactics",45,0,0,0,0,0,0,0,0,1,0,left ,Democrat,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2021000A750&ciq=ncsl&client_md=ff963ea1663f1a323a9a0eab11f3fb67&mode=current_text
California,09/30/2021,Peace Officers and Law Enforcement Gangs,Other Issues,Defines a law enforcement gang as a group of law enforcement officers within an agency that engages in a pattern of specified unlawful or unethical on-duty behavior. Requires law enforcement agencies to have a policy prohibiting law enforcement gangs and making participation in a law enforcement gang grounds for termination. Requires an agency to disclose an officer's termination for involvement in a law enforcement gang to another law enforcement agency conducting a preemployment background check.,CA A 958,"transparency, oversight, accountability",46,0,0,0,0,0,0,1,1,1,0,left,Democrat,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2021000A958&ciq=ncsl&client_md=387c4eeae52053b0db8af6a2cbee621f&mode=current_text
California,10/06/2021,Sexual Assault by Law Enforcement Officers: Limitations,Other Issues,"Exempts a claim arising out of an alleged sexual assault, as defined, by a law enforcement officer if the alleged assault occurred on or after the plaintiff's 18th birthday and while the officer was employed by a law enforcement agency from all state and local government claim presentation requirements.",CA A 1455,"tactics, accountability",47,0,0,0,0,0,0,0,0,1,0,left,Democrat,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2021000A1455&ciq=ncsl&client_md=1c30b60f29b7ed59b7e2a5412c4342ea&mode=current_text
California,07/23/2021,Law Enforcement: Social Media,Technology,"Prohibits a police department or sheriff's office from sharing, on social media, booking photos of an individual arrested on suspicion of committing a nonviolent crime, unless specified circumstances exist. Requires a police department or sheriff's office that shares, on social media, a booking photo of an individual arrested for the suspected commission of any crime to remove the information from its social media page, upon request, unless the same specified circumstances exist.",CA A 1475,tactics,48,0,0,0,0,0,0,0,0,0,0,left,Democrat,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2021000A1475&ciq=ncsl&client_md=be426d561add561289b6f58fa5596d27&mode=current_text
California,09/30/2020,Law Enforcement Uniforms,Employment and Labor,"Prohibits, with certain exceptions, a law enforcement agency from authorizing or allowing its employees to wear a uniform that is substantially similar to a uniform of the United States Armed Forces.",CA S 480,tactics,49,0,0,0,0,0,0,0,0,0,0,left,Democrat,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2019000S480&ciq=ncsl&client_md=32e52be723394e68f34257cedaa2e561&mode=current_text
California,09/30/2020,Public Employment: Peace Officers,Standards,"Requires the evaluation of peace officers by a physician and surgeon, or psychologist, to include bias against race or ethnicity, gender, nationality, religion, disability, or sexual orientation. Requires every department or agency that employs peace officers to review the job descriptions used in the recruitment and hiring of those peace officers and to make changes that deemphasize the paramilitary aspects of the job and place more emphasis on community interaction and collaborative problem solving.",CA A 846,"tactics, oversight",50,0,0,0,0,0,0,1,1,0,0,left,Democrat,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2019000A846&ciq=ncsl&client_md=227780f67385ccd03ec5aeb7700f91de&mode=current_text
California,09/30/2020,County Board Of Supervisors: Sheriff Oversight,Oversight,"Authorizes a county to establish a Sheriff Oversight Board to assist the Board of Supervisors with those duties as they relate to the Sheriff, either by action of the Board of Supervisors or through a vote of county residents. Authorizes the Chair of the Oversight Board and the Inspector General to issue a subpoena or subpoena duces tecum when deemed necessary to investigate a matter within their jurisdiction.",CA A 1185,oversight,51,0,0,0,0,0,0,1,1,0,0,left,Democrat,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2019000A1185&ciq=ncsl&client_md=922c6a7acc870a91926b02d308dcad47&mode=current_text
California,09/30/2020,Peace Officers: Use of Force,Use of Force,Prohibits a law enforcement agency from authorizing the use of a carotid restraint or a choke hold.,CA A 1196,use of force,52,0,0,0,0,0,1,0,0,0,0,left,Bipartisan,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2019000A1196&ciq=ncsl&client_md=7e70900694af8516078bc388c3923bf4&mode=current_text
California,09/30/2020,Police Use of Force,"Oversight, Use of Force",Requires a state prosecutor to investigate incidents of an officer involved shooting resulting in the death of an unarmed civilian. Makes the Attorney General the state prosecutor unless otherwise specified or named. Authorizes the state prosecutor to prepare a written report and to post any reports made on a public internet website. Requires the Attorney General to operate a Police Practices Division to review the use of deadly force policies of a requesting law enforcement agency.,CA A 1506,"use of force, oversight",53,0,0,0,0,0,1,1,1,0,0,left,Democrat,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2019000A1506&ciq=ncsl&client_md=9c721cfa7f82ba0fab015089f5bc4997&mode=current_text
Colorado,05/26/2022,Peace Officer Residency Requirement,Employment and Labor,"Provides that a person shall not assume or exercise the functions, powers, duties, or privileges incident and belonging a marshal, police officer, or other peace officer without having first received an appointment in writing from the lawfully constituted authorities of the state.",CO H 1371,"accountability, transparency ",54,0,0,0,0,0,0,1,0,1,0,right ,Bipartisan,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CO2022000H1371&ciq=ncsl&client_md=871c5f2a6584a4e9ef05c6fbb4a039fb&mode=current_text
Colorado,07/02/2021,Policies For Peace Officer Credibility Disclosures,"Investigations and Discipline, Other Issues",Concerns adoption of written policies by law enforcement agencies for constitutionally required peace officer credibility disclosure notifications.,CO S 174,transparency,55,0,0,0,0,0,0,1,0,0,0,left,Bipartisan,https://custom.statenet.com/public/resources.cgi?id=ID:bill:CO2021000S174&ciq=ncsl&client_md=107fb273eeca5657b584a39ff52a111c&mode=current_text
Colorado,06/27/2021,Peace Officers Mental Health Grant Program,"Policing Alternatives and Collaboration, Officer Safety and Wellbeing","Concerns expanding the peace officers behavioral health support grant program to include community partnerships, makes an appropriation.",CO H 1030,mental health diversion,56,0,0,0,0,0,0,0,0,0,1,left,Bipartisan,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CO2021000H1030&ciq=ncsl&client_md=cedfaa4963b0072801adc0ee0261d1a8&mode=current_text
Colorado,06/27/2021,Secure Transportation Behavioral Health Crisis,Policing Alternatives and Collaboration,"Concerns secure transportation for an individual in behavioral health crisis, makes an appropriation.",CO H 1085,mental health diversion,57,0,0,0,0,0,0,0,0,0,1,left,Bipartisan,https://custom.statenet.com/public/resources.cgi?id=ID:bill:CO2021000H1085&ciq=ncsl&client_md=0a35098f7de626a13ba9930d387663ac&mode=current_text
